Year,World,Europe,North America,Latin America,Asia,Pacific,Africa,Middle-East
1990,101855.54,20654.88,24667.23,5373.06,24574.19,1197.89,4407.77,2581.86
1991,102483.56,20631.62,24841.68,5500.99,24783.53,1186.26,4535.7,2744.68
1992,102588.23,20189.68,25341.77,5628.92,25690.67,1209.52,4582.22,3081.95
1993,103646.56,20189.68,25830.23,5675.44,26876.93,1267.67,4721.78,3349.44
1994,104449.03,20085.01,26365.21,5989.45,28098.08,1279.3,4803.19,3640.19
1995,107112.3,20713.03,26714.11,6024.34,29761.17,1290.93,5000.9,3744.86
1996,109763.94,21445.72,27295.61,6303.46,30772.98,1372.34,5152.09,3814.64
1997,110903.68,21341.05,27574.73,6570.95,31435.89,1407.23,5280.02,4058.87
1998,111450.29,21503.87,27772.44,6803.55,31331.22,1442.12,5431.21,4082.13
1999,113974,21306.16,28528.39,6989.63,32412.81,1477.01,5559.14,4244.95
2000,116590.75,21538.76,29342.49,7024.52,33564.18,1500.27,5617.29,4314.73
2001,117521.15,21934.18,28795.88,7036.15,34227.09,1477.01,5756.85,4663.63
2002,120207.68,21969.07,29156.41,7280.38,35680.84,1523.53,5849.89,4884.6
2003,124464.26,22515.68,29377.38,7501.35,38181.29,1535.16,6140.64,4954.38
2004,129953.62,22748.28,29993.77,7780.47,41437.69,1558.42,6466.28,5245.13
2005,133582.18,22864.58,30168.22,8059.59,43693.91,1570.05,6652.36,5675.44
2006,137396.82,23108.81,29958.88,8303.82,46124.58,1616.57,6861.7,5989.45
2007,141211.46,22829.69,30424.08,8571.31,48555.25,1663.09,7129.19,6315.09
2008,142874.55,22829.69,29644.87,8780.65,49636.84,1721.24,7443.2,6850.07
2009,141490.58,21608.54,28214.38,8559.68,51858.17,1721.24,7606.02,7059.41
2010,149294.31,22469.16,28830.77,9117.92,56010.08,1732.87,7803.73,7361.79
2011,151783.13,21794.62,28598.17,9304,58324.45,1744.5,8117.74,7524.61
2012,153748.6,21689.95,28167.86,9594.75,60022.43,1744.5,8303.82,7943.29
2013,155958.3,21480.61,28667.95,9978.54,61499.44,1767.76,8431.75,8071.22
2014,157667.91,20689.77,29063.37,9943.65,62895.04,1767.76,8896.95,8513.16
2015,158086.59,21038.67,28784.25,9873.87,63476.54,1767.76,8838.8,8675.98
2016,159377.52,21224.75,28563.28,9745.94,63941.74,1767.76,9106.29,8862.06
2017,162459.47,21620.17,28563.28,9687.79,65721.13,1791.02,9304,9210.96
2018,166297.37,21399.2,29470.42,9513.34,68035.5,1791.02,9559.86,9257.48
2019,167553.41,21061.93,29249.45,9478.45,69582.29,1802.65,9641.27,9455.19
2020,160819.64,19643.07,27063.01,8815.54,69256.65,1767.76,9408.67,9338.89
